6099.82	-16.157
6099.65	-16.082
6099.59	-16.2238
6099.94	-16.2418
6099.68	-16.1218
6100.33	-16.3932
6100.23	-16.3175
6100.71	-16.2321
6100.45	-16.3226
6100.53	-16.3585
6100.59	-16.2296
6100.04	-16.2603
6099.76	-16.1269
6099.25	-16.0788
6100.41	-16.2821
6100.31	-16.363
6100.22	-16.3003
6100.7	-16.3853
6099.73	-16.3019
6100.47	-16.2297
6100.67	-16.4021
6099.67	-16.0961
6100.13	-16.2156
6098.91	-16.0966
6100.19	-16.256
6100.45	-16.3352
6100.53	-16.3444
6100.86	-16.3658
6099.63	-16.1704
6100.51	-16.4231
6100.04	-16.2365
6099.73	-16.1971
6100.23	-16.259
6100.16	-16.3668
6100.05	-16.2452
6100.47	-16.4097
6099.29	-16.2211
6100.46	-16.2856
6100.39	-16.3807
6099.18	-15.9735
6099.77	-16.2014
6099.47	-16.1982
6099.5	-16.2279
6100.69	-16.3384
6100.68	-16.415
6100.6	-16.3456
6100.4	-16.2268
6099.04	-16.1472
6100.35	-16.3436
6099.35	-16.0828
6100.49	-16.2712
6099.67	-16.2493
6100.99	-16.5022
6100.39	-16.3229
6099.7	-16.2732
6100.24	-16.2919
6099.78	-16.1156
6099.7	-16.3306
6100.01	-16.2269
6100.2	-16.3627
6099.69	-16.3243
6099.67	-16.2631
6099.9	-16.2515
6100.1	-16.2583
6099.89	-16.307
6099.95	-16.2571
6100.64	-16.4327
6099.57	-16.1774
6100.16	-16.1807
6099.75	-16.222
6099.29	-16.0975
6099.42	-16.1332
6100.64	-16.4202
6099.95	-16.2913
6099.77	-16.3005
6099.87	-16.3317
6099.59	-16.34
6100.3	-16.3311
6099.86	-16.2654
6100.35	-16.3437
6100.66	-16.4501
6100.11	-16.2726
6100.46	-16.2612
6100.09	-16.331
6100.61	-16.4611
6099.78	-16.3665
6100.51	-16.4748
6101.45	-16.5109
6100.37	-16.3185
6099.64	-16.1791
6099.89	-16.2913
6100.68	-16.3417
6100.54	-16.315
6100.16	-16.3768
6099.52	-16.1992
6099.79	-16.2484
6100.15	-16.2853
6100.25	-16.2153
6100.13	-16.22
6099.65	-16.2646
6099.99	-16.2574
6100.49	-16.5283
6100.25	-16.3557
6099.79	-16.1366
6099.61	-16.0302
6100.2	-16.2198
6099.96	-16.149
6100.18	-16.253
6099.72	-16.2507
6099.65	-16.1257
6099.39	-16.1117
6099.54	-16.111
6099.54	-16.092
6099.76	-16.0984
6099.84	-16.1505
6099.48	-16.1792
6100.24	-16.1151
6100.39	-16.2709
6099.94	-16.1482
6100.46	-16.1928
6100.71	-16.2672
6099.78	-16.093
6100.13	-16.3119
6100.15	-16.1746
6099.01	-15.9256
