1999.77	2.26108
1999.94	2.26157
2000.00	2.26092
1999.82	2.26087
2099.76	2.25097
2099.66	2.25115
2099.92	2.25098
2199.78	2.23966
2199.91	2.23994
2199.73	2.24015
2299.98	2.22883
2300.08	2.22887
2299.88	2.2286
2400.08	2.21659
2400.06	2.21641
2400.31	2.21603
2400.05	2.21611
2500.04	2.20318
2500.15	2.2028
2500.07	2.20265
2600.09	2.18905
2600.12	2.18866
2600.16	2.18865
2700.26	2.17383
2700.13	2.1739
2700.06	2.1734
2800.00	2.15699
2800.04	2.15665
2800.03	2.15694
2799.93	2.15674
2899.87	2.13933
2899.94	2.13898
2899.86	2.13926
3000.06	2.11941
2999.92	2.1197
3000.06	2.1193
3100.00	2.09943
3100.07	2.0994
3099.89	2.09928
3200.06	2.0769
3200.00	2.07622
3200.17	2.07616
3200.15	2.07608
3300.06	2.05223
3300.01	2.05215
3300.06	2.05209
3400.06	2.02658
3400.14	2.02648
3400.10	2.02637
3499.86	1.99799
3500.06	1.99807
3500.00	1.99792
3599.98	1.96784
3599.85	1.96786
3599.99	1.96734
3599.91	1.96695
3699.85	1.93502
3700.03	1.93414
3699.98	1.93447
3800.04	1.89945
3800.05	1.8986
3800.06	1.89957
3899.96	1.86122
3899.88	1.86142
3899.88	1.86131
4000.04	1.82092
4000.08	1.81965
4000.06	1.81999
4000.11	1.81971
4099.84	1.77676
4099.98	1.77648
4100.06	1.77601
4200.16	1.72998
4200.22	1.72964
4200.22	1.72893
4299.72	1.68003
4299.91	1.6794
4299.97	1.67914
4299.88	1.67881
4399.79	1.62576
4400.13	1.62523
4400.05	1.62514
4499.75	1.56946
4499.97	1.56859
4499.92	1.56914
4599.92	1.5094
4600.08	1.5088
4600.05	1.50843
4700.13	1.44587
4700.00	1.44477
4700.12	1.44423
4799.92	1.37859
4800.19	1.37731
4800.28	1.3775
4799.78	1.37714
4900.25	1.30776
4900.21	1.30698
4900.14	1.30681
5000.00	1.23462
5000.14	1.23424
4999.84	1.23393
5099.82	1.15859
5099.97	1.15848
5099.85	1.15843
5200.16	1.08137
5200.07	1.08085
5199.94	1.07993
5200.29	1.08026
5299.88	1.00078
5300.23	1.00091
5299.90	1.00127
5400.25	0.919792
5399.94	0.91976
5400.08	0.919867
5499.79	0.83868
5500.05	0.83886
5500.13	0.838527
5600.02	0.757668
5600.21	0.757792
5600.16	0.757875
5600.32	0.757601
5700.29	0.678398
5699.89	0.678851
5700.12	0.678696
5799.64	0.602304
5799.95	0.602335
5800.00	0.602678
5899.34	0.531654
5899.55	0.531494
5900.01	0.531392
5999.62	0.469236
5999.29	0.469386
5999.86	0.469228
6099.12	0.418562
6099.21	0.418331
6100.94	0.41832
6099.46	0.418243
6199.97	0.384908
6199.68	0.384455
6199.61	0.38445
6299.44	0.370731
6298.72	0.36998
6299.62	0.37033
6399.69	0.378725
6399.97	0.377876
6399.50	0.378846
6498.93	0.406602
6499.42	0.405533
6499.37	0.405037
6499.79	0.405287
6599.25	0.447383
6599.87	0.446658
6599.68	0.446314
6699.53	0.499453
6699.99	0.498067
6699.90	0.498251
6800.18	0.556571
6800.23	0.555858
6800.37	0.554791
6899.77	0.617114
6900.42	0.615606
6900.19	0.615527
6899.54	0.615628
7000.09	0.677526
7000.18	0.677735
6999.86	0.677161
7099.94	0.740283
7100.38	0.739566
7099.44	0.739597
7200.13	0.802141
7199.74	0.800805
7200.28	0.800881
7299.78	0.862051
7300.17	0.861093
7299.98	0.861545
7300.34	0.861112
7400.08	0.921302
7400.08	0.920119
7399.84	0.919846
7500.21	0.977836
7499.88	0.976984
7500.06	0.976954
7600.33	1.03245
7600.29	1.03195
7600.20	1.03176
7700.18	1.08594
7700.18	1.08514
7700.19	1.08466
7700.05	1.08469
7800.24	1.13648
7800.09	1.13611
7800.39	1.13602
7900.34	1.1855
7900.01	1.18537
7900.20	1.18502
8000.02	1.23202
8000.14	1.23209
8000.21	1.23133
8100.22	1.27661
8100.07	1.27645
8100.23	1.27604
8100.24	1.27598
8200.05	1.3189
8200.13	1.31898
8200.13	1.31881
8300.24	1.3597
8300.09	1.35983
8300.00	1.35964
8400.16	1.3986
8400.04	1.39872
8400.13	1.39849
8500.12	1.43599
8500.25	1.43582
8500.07	1.43515
8500.00	1.4353
8599.98	1.47093
8600.17	1.47072
8600.16	1.47041
8700.33	1.50486
8700.01	1.50443
8700.15	1.50411
8800.29	1.53674
8800.13	1.53675
8800.04	1.53655
8900.31	1.56738
8900.29	1.56671
8900.34	1.56641
8900.09	1.56662
8999.95	1.59587
8999.88	1.59595
8999.91	1.59557
9100.06	1.6237
9099.99	1.62326
9100.25	1.62361
9200.17	1.65009
9200.17	1.64923
9200.18	1.64987
9300.13	1.67537
9300.06	1.67483
9300.21	1.67452
9300.20	1.67473
9400.13	1.69878
9400.17	1.6986
9400.32	1.69825
9500.20	1.72129
9500.01	1.72106
9500.07	1.72092
9600.05	1.743
9600.07	1.74305
9600.14	1.74271
9699.92	1.76339
9700.07	1.76356
9699.68	1.76344
9699.80	1.76311
9800.06	1.78278
9799.93	1.78288
9799.94	1.78243
9900.03	1.80143
9900.09	1.80125
9900.21	1.80171
10000.16	1.81935
9999.89	1.81954
10000.09	1.81934
10100.17	1.83616
10099.99	1.83591
10100.00	1.83585
10099.88	1.83598
10199.94	1.85226
10200.14	1.85277
10200.04	1.8526
10300.19	1.86837
10300.07	1.86792
10300.10	1.86777
10400.07	1.88317
10400.15	1.88293
10400.12	1.88257
10500.01	1.89714
10499.95	1.89762
10500.00	1.89737
10499.93	1.89694
